Entity,Relation,Value
restaurant_toqu_,restaurantincity,montreal
republic,countryalsoknownas,poland
the_great_mosque_of_taza,placeofworshippracticesreligion,islam
the_great_mosque_of_taza,placeofworshippracticesreligion,islam
wean_hall,buildingbelongstoorganization,cmu
jolie,hashusband,brad_pitt
bwi,airportincity,baltimore
manitoba,statehascapital,winnipeg
ayn_rand,agentcontributedtocreativework,anthem
louvre,buildinglocatedincity,paris
louvre,buildinglocatedincity,paris
lake_macatawa,lakeinstate,michigan
houses,organizationhiredperson,republican
houses,damagedinearthquake,n2000_nicaragua_earthquake
houses,damagedinbombing,n1327689011
houses,damagedinbombing,n1327689011
epee,haswikipediaurl,//en.wikipedia.org/wiki/%C3%89p%C3%A9e
blaise_pascal,personinacademicfield,mathematics
ganges,riveremptiesintoriver,bay_of_bengal
ganges,riveremptiesintoriver,bay_of_bengal
varanasi,cityliesonriver,ganges
varanasi,cityliesonriver,ganges
bangladesh,cityliesonriver,ganges
bangladesh,cityliesonriver,ganges
calcutta,cityliesonriver,ganges
calcutta,cityliesonriver,ganges
republic,countryalsoknownas,namibia
lord,agentcontributedtocreativework,commandments
lord,agentcontributedtocreativework,commandments
team,agentparticipatedinevent,championship
team,agentparticipatedinevent,championship
sophocles,agentcontributedtocreativework,oedipus
illinois_river,riveremptiesintoriver,mississippi_river
missouri_river,riveremptiesintoriver,mississippi_river
republic,countryalsoknownas,argentina
el_calafate,citylocatedincountry,argentina
carnegie_museum_of_art,museumincity,pittsburgh
carnegie_museum_of_art,museumincity,pittsburgh
states,statelocatedingeopoliticallocation,tibet
chocolate,thinghascolor,brown
budapest,citycapitalofcountry,hungary
budapest,citycapitalofcountry,hungary
st_charles,citylocatedinstate,illinois
voltaire,writerwasbornincity,paris
zen_mountain_monastery,placeofworshippracticesreligion,buddhism
bahamas,countrylocatedingeopoliticallocation,states
iowa,statehascapital,des_moines
angus_l__macdonald_bridge,haswikipediaurl,//en.wikipedia.org/wiki/Angus%20L%2E%20Macdonald%20Bridge
beirut,locationofbombing,beirut_bombing__thurs__blast_in_hezbollah_run_area_of_beirut_claimed_5_lives
white_pigeon,citylocatedinstate,michigan
braves_field,buildinglocatedincity,boston
republic,countryalsoknownas,indonesia
manresa_beach,lakeinstate,california
alabama,statehascapital,montgomery
the_andy_warhol_museum,museumincity,pittsburgh
states,stateorprovinceisborderedbystateorprovince,md
anchorage,citylocatedinstate,alaska
the_hurva_synagogue,placeofworshippracticesreligion,judaism
louis_armstrong_new_orleans_international_airport,airportincity,new_orleans
nebraska,statehascapital,lincoln
bc,statehascapital,victoria
bc,statehascapital,victoria
david_miscavige,haswikipediaurl,//en.wikipedia.org/wiki/David%20Miscavige
bolshoi_theatre,buildinglocatedincity,moscow
krakow,citylocatedingeopoliticallocation,poland
george_w__bush,personchargedwithcrime,murder
new_england_aquarium,aquariumincity,boston
attic,subpartof,air
unknown,attackerinbombing,aleppo_university_bombings
aleppo_university,damagedinbombing,aleppo_university_bombings
republic,countryalsoknownas,chile
izu_oshima_island_southwest,epicenterofearthquake,big_earthquake_shakes_tokyo__17_injured
lake_tahoe,lakeinstate,california
georgia_aquarium,aquariumincity,atlanta
roald_dahl,agentcontributedtocreativework,collected_stories
franz_kafka,agentcontributedtocreativework,collected_stories
braunstone_gate_bridge,haswikipediaurl,//en.wikipedia.org/wiki/Braunstone%20Gate%20Bridge
west_edmonton_mall,shoppingmallincity,edmonton
bakersfield,citylocatedinstate,california
michelle_phillips,hasspouse,john002
jean_kasem,hasspouse,casey
cia,synonymfor,america
columbia,cityalsoknownas,new_brunswick
amman,citycapitalofcountry,jordan
amman,citycapitalofcountry,jordan
gamelan_outside_indonesia,haswikipediaurl,//en.wikipedia.org/wiki/Gamelan%20outside%20Indonesia
dod,organizationacronymhasname,department_of_defense
dod,organizationacronymhasname,defense_department
george,persondiedatage,2
states,statelocatedingeopoliticallocation,albania
republic,countryalsoknownas,el_salvador
kingston,citycapitalofcountry,jamaica
west_virginia,statelocatedincountry,usa
west_virginia,statelocatedincountry,usa
lake_almanor,lakeinstate,california
sleepy_hollow_presbyterian_church,placeofworshippracticesreligion,presbyterianism
virginia,statelocatedincountry,usa
corvallis,citylocatedinstate,oregon
republic,countryalsoknownas,russia
san_francisco_international_airport,airportincity,san_francisco
h__g__wells,agentcontributedtocreativework,the_island_of_doctor_moreau
moses,agentcontributedtocreativework,commandments
states,statelocatedingeopoliticallocation,nation
veracruz,citylocatedincountry,mexico
dad,persondiedatage,15
fhwa,organizationacronymhasname,federal_highway_administration
columbia,riveremptiesintoriver,kootenay_river
boston_science_museum,museumincity,boston
lower_haight,parkincity,san_francisco
hamilton,citycapitalofcountry,bermuda
heidi_klum,hasspouse,seal
manistee_lake,lakeinstate,michigan
jackson_memorial,hospitalincity,miami
ice_t,haswife,coco
columbia,cityalsoknownas,langley
baldwin_lake,lakeinstate,michigan
my_little_pony__friendship_is_magic,haswikipediaurl,//en.wikipedia.org/wiki/My%20Little%20Pony%3A%20Friendship%20Is%20Magic
pasadena,citylocatedinstate,california
david,persondiedatage,10
alberta,statehascapital,edmonton
republic,countryalsoknownas,germany
republic,countryalsoknownas,germany
republic,countryalsoknownas,germany
lawrence,citylocatedinstate,massachusetts
solr,haswikipediaurl,//en.wikipedia.org/wiki/Apache%20Solr
mother_teresa,personhasjobposition,nun
life,istallerthan,immigrants
texas_state_aquarium,aquariumincity,corpus_christi
taronga_zoo,zooincity,sydney
abbott_northwestern_hospital,hospitalincity,minneapolis
day,subpartof,air
katrina,personhasresidenceincity,new_orleans
kansas,organizationhiredperson,self
levi_johnston,personhasage,18
animal_companions,animalistypeofanimal,pet
austin_museum_of_art,museumincity,austin
cleveland,citylocatedinstate,ohio
wplg,televisionstationincity,miami
hayward,citylocatedinstate,california
kobe_bryant,personhasage,30
memphis,citylocatedincountry,egypt
arequipa,citylocatedingeopoliticallocation,peru
andhra_pradesh,statehascapital,hyderabad
stafford,citylocatedinstate,virginia
nyc_,cityliesonriver,columbia
little_italy,parkincity,cleveland
williamsport,citylocatedinstate,pennsylvania
states,statelocatedingeopoliticallocation,mid
buenos_aires,citylocatedincountry,argentina
sfo,airportincity,san_francisco
first_place,agentparticipatedinevent,standings
alaska,statehascapital,juneau
westminster_abbey,placeofworshippracticesreligion,christianity
westminster_abbey,placeofworshippracticesreligion,christianity
potenza,haswikipediaurl,//en.wikipedia.org/wiki/Potenza
miami_international,buildinglocatedincity,miami
abbeville,cityliesonriver,somme
arnaud_montebourg,haswikipediaurl,//en.wikipedia.org/wiki/Arnaud%20Montebourg
republic,countryalsoknownas,mexico
hamilton_lake,lakeinstate,indiana
republic,countryalsoknownas,iran
republic,countryalsoknownas,iran
republic,countryalsoknownas,singapore
annie_proulx,agentcontributedtocreativework,the_shipping_news
ab,statelocatedincountry,canada
wgbh,televisionstationincity,boston
lake_ripley,haswikipediaurl,"//en.wikipedia.org/wiki/Lake%20Ripley,%20Wisconsin"
newmexico,statelocatedincountry,usa
ky,statehascapital,frankfort
ottawa,citycapitalofcountry,canada
alexandria,citylocatedincountry,egypt
services,synonymfor,divisions
work,agentparticipatedinevent,climax
states,statelocatedingeopoliticallocation,god
paul,persondiedatage,3
fun,istallerthan,friends
vnukovo,buildinglocatedincity,moscow
sudan,countrylocatedingeopoliticallocation,states
the_philippines,countrylocatedingeopoliticallocation,southeast_asia
states,stateorprovinceisborderedbystateorprovince,new_brunswick
elon_musk,topmemberoforganization,tesla
bangkok,citycapitalofcountry,thailand
bangkok,citylocatedincountry,thailand
republic,countryalsoknownas,thailand
bronx,riveremptiesintoriver,east_river
bronx_zoo,haswikipediaurl,//en.wikipedia.org/wiki/Bronx%20Zoo
massachusetts_general,hospitalincity,boston
bill,persongraduatedfromuniversity,boston_university
states,statelocatedingeopoliticallocation,search
republic,synonymfor,puerto_rico
how_many,haswikipediaurl,//en.wikipedia.org/wiki/How%20Many
solid_waste,subpartof,systems
berlin_berlin,citycapitalofcountry,germany
nuremberg,citylocatedincountry,germany
tehran,citycapitalofcountry,iran
tehran,citycapitalofcountry,iran
tehran,citylocatedincountry,iran
tehran,citylocatedincountry,iran
national_museum_of_iran,museumincity,tehran
jack,persongraduatedschool,college
states,statelocatedingeopoliticallocation,victoria
new_dehli,citycapitalofcountry,republic_of_india
bombay,citylocatedincountry,republic_of_india
states,stateorprovinceisborderedbystateorprovince,florida
oregon_st,organizationalsoknownas,state_university
san_antonio,cityliesonriver,grand
islamic_state,haswikipediaurl,//en.wikipedia.org/wiki/Islamic%20state
mh,statelocatedincountry,usa
chicken,animaleatfood,goat
apple,producesproduct,iphone
life,istallerthan,soldiers
chicken,animaleatfood,brandy
mepco_schlenk_engineering_college,haswikipediaurl,//en.wikipedia.org/wiki/Mepco%20Schlenk%20Engineering%20College
jacuzzi_tub,itemfoundinroom,full_bath
cmu,organizationacronymhasname,carnegie_mellon_university
doherty_hall,buildingbelongstoorganization,cmu
gates_and_hillman_centers,buildingbelongstoorganization,cmu
gates___hillman_centers,buildingbelongstoorganization,cmu
cambrai,citylocatedincountry,__france
quality_suites,hotelincity,toronto
chicken,animaleatfood,garlic_mashed_potatoes
ohio,statelocatedingeopoliticallocation,usa
